單位代碼,單位全銜,單位縮寫,階層,上層單位代碼
395000000A,臺南市政府,臺南市政府,0,300000000A
395000200A,臺南市政府公務人力發展中心,人力中心,2,395002600-
395000211-,臺南市政府公務人力發展中心教務組,教務組,3,395000200A
395000212-,臺南市政府公務人力發展中心總務組,總務組,3,395000200A
395000300A,臺南市政府智慧發展中心,智慧發展中心,2,395002900-
395000321-,臺南市政府智慧發展中心數位創新組,數位創新組,3,395000300A
395000322-,臺南市政府智慧發展中心資訊管理組,資訊管理組,3,395000300A
395000323-,臺南市政府智慧發展中心智慧應用組,智慧應用組,3,395000300A
395000331-,臺南市政府智慧發展中心駐府人員,駐府人員,3,395000300A
395001100-,臺南市政府府本部,府本部,1,395000000A
395001101-,臺南市政府市長辦公室,市長辦公室,2,395001100-
395001102-,臺南市政府副市長辦公室,副市長辦公室,2,395001100-
395001103-,臺南市政府秘書長辦公室,秘書長辦公室,2,395001100-
395001104-,臺南市政府副秘書長辦公室,副秘書長辦公室,2,395001100-
395001105-,臺南市政府幕僚辦公室,幕僚辦公室,2,395001100-
395001116-,臺南市政府災害防救辦公室,災防辦公室,2,395001100-
3950011161,臺南市政府災害防救辦公室減災規劃組,減災規劃組,3,395001116-
3950011162,臺南市政府災害防救辦公室災害應變組,災害應變組,3,395001116-
3950011163,臺南市政府災害防救辦公室調查復原組,調查復原組,3,395001116-
3950011164,臺南市政府災害防救辦公室管考協調組,管考協調組,3,395001116-
395001117-,臺南市新大同營造中心,新大同營造中心,2,395001100-
395001118-,臺南市政府推動英語為第二官方語言專案辦公室,官方語專案辦公室,2,395001100-
395001119-,臺南市政府性別平等辦公室,性別平等辦公室,2,395001100-
395001120-,智慧城市辦公室,智慧城市辦公室,2,395001100-
395001131-,(外) 臺南市工商發展投資策進會,(外)工商策進會,2,395001100-
395002100-,臺南市政府秘書處,秘書處,1,395000000A
395002111-,臺南市政府秘書處文書科,文書科,2,395002100-
3950021111,臺南市政府秘書處文書科一股,文書科一股,3,395002111-
3950021112,臺南市政府秘書處文書科二股,文書科二股,3,395002111-
395002112-,臺南市政府秘書處總務科,總務科,2,395002100-
3950021121,臺南市政府秘書處總務科一股,總務科一股,3,395002112-
3950021122,臺南市政府秘書處總務科二股,總務科二股,3,395002112-
395002113-,臺南市政府秘書處採購企劃管理科,採購企劃管理科,2,395002100-
395002114-,臺南市政府秘書處廳舍管理科,廳舍管理科,2,395002100-
395002115-,臺南市政府秘書處機要科,機要科,2,395002100-
395002116-,臺南市政府秘書處檔案科,檔案科,2,395002100-
395002300-,臺南市政府法制處,法制處,1,395000000A
395002305-,臺南市政府法制處消費者保護官室,消費者保護官室,2,395002300-
395002311-,臺南市政府法制處法制行政科,法制行政科,2,395002300-
395002312-,臺南市政府法制處行政救濟科,行政救濟科,2,395002300-
395002313-,臺南市政府法制處法規審議科,法規審議科,2,395002300-
395002400-,臺南市政府新聞及國際關係處,新聞及國際關係處,1,395000000A
395002421-,新聞及國際關係處影視數位行銷科,影視數位行銷科,2,395002400-
395002422-,新聞及國際關係處新聞傳播科,新聞傳播科,2,395002400-
395002423-,新聞及國際關係處國際關係科,國際關係科,2,395002400-
395002424-,新聞及國際關係處綜合企劃科,綜合企劃科,2,395002400-
395002500-,臺南市政府民族事務委員會 (110.1.1註銷),民族事務委員會 (110.1.1註銷),1,395000000A
395002511-,臺南市政府民族事務委員會原住民事務科 (110.1.1註銷),原住民事務科 (110.1.1註銷),2,395002500-
395002512-,臺南市政府民族事務委員會客家事務科 (110.1.1註銷),客家事務科 (110.1.1註銷),2,395002500-
395002513-,臺南市政府民族事務委員會綜合規劃科 (110.1.1註銷),綜合規劃科 (110.1.1註銷),2,395002500-
395002600-,臺南市政府人事處,人事處,1,395000000A
395002611-,臺南市政府人事處企劃科,企劃科,2,395002600-
3950026111,臺南市政府人事處企劃科一股,企劃科一股,3,395002611-
3950026112,臺南市政府人事處企劃科二股,企劃科二股,3,395002611-
